"year_","sp","nest","bird_ID","tag_ID","sex"
2011,"amgp","a301",NA,NA,"f"
2011,"amgp","a301","129270258","30ADC4B43A6F0001","m"
2011,"amgp","a302","129270269","B123C4B43A6F0001","f"
2011,"amgp","a302","129270262","F246C4B43A6F0001","m"
2012,"amgp","a303","127231994","347924B43A6F0001","f"
2012,"amgp","a303","127231990","3976C4B43A6F0001","m"
2012,"amgp","a305","129270419","E00524B43A6F0001","f"
2012,"amgp","a305","127231996","E54924B43A6F0001","m"
2012,"amgp","a403","NA_2012_a403",NA,"f"
2012,"amgp","a403","127231991","30CEC4B43A6F0001","m"
2012,"amgp","a802","127231979","154524B43A6F0001","f"
2012,"amgp","a802","127231980","E1B224B43A6F0001","m"
2011,"basa","b301",NA,NA,"f"
2011,"basa","b301","229194768","CFE524B43A6F0001","m"
2011,"basa","b501","255174467","E176C4B43A6F0001","f"
2011,"basa","b501","255174465","93F224B43A6F0001","m"
2012,"basa","b303","255174720","4C16C4B43A6F0001","f"
2012,"basa","b303","255174732","7BDAC4B43A6F0001","m"
2012,"basa","b304","257188593","265924B43A6F0001","f"
2012,"basa","b304","255174593","686AC4B43A6F0001","m"
2012,"basa","b402","257188507","5E9EC4B43A6F0001","f"
2012,"basa","b402","257188439","3AF524B43A6F0001","m"
2012,"basa","b403","257188408","2C16C4B43A6F0001","f"
2012,"basa","b403","255174592","9B03C4B43A6F0001","m"
2012,"basa","b404",NA,NA,"f"
2012,"basa","b404","257188586","61CEC4B43A6F0001","m"
2012,"basa","b405","257188578","9325C4B43A6F0001","f"
2012,"basa","b405","257188451","372DC4B43A6F0001","m"
2012,"basa","b601","257188413","E61DC4B43A6F0001","f"
2012,"basa","b601","255174583","5D19C4B43A6F0001","m"
2014,"blgo","ka1411_is2014","634169","D96CE7D001AF0001","f"
2014,"blgo","ka1411_is2014","NA_blgo",NA,"m"
2012,"dunl","d702",NA,NA,"f"
2012,"dunl","d702","221113982","87F924B43A6F0001","m"
2012,"lbdo","l301","127231977","3B0DC4B43A6F0001","f"
2012,"lbdo","l301","129270411","120924B43A6F0001","m"
2012,"lbdo","l302","129270406","E25924B43A6F0001","f"
2012,"lbdo","l302","NA_2012_l302",NA,"m"
2012,"lbdo","l401","127231981","D95524B43A6F0001","f"
2012,"lbdo","l401","127231999",NA,"m"
2013,"lbdo","l501","129270431","3AD396A801AF0001","f"
2013,"lbdo","l501","129270315","80F524B43A6F0001","m"
2013,"lbdo","l502","129270441","FB6CE7D001AF0001","f"
2013,"lbdo","l502","NA_2013_l502",NA,"m"
2013,"lbdo","l801","129270433","8D0524B43A6F0001","f"
2013,"lbdo","l801","129270437","92ECE7D001AF0001","m"
2013,"lbdo","l805","129270445","3D6CE7D001AF0001","f"
2013,"lbdo","l805","NA_2013_l805",NA,"m"
2008,"pesa","p101","233113133","207","f"
2008,"pesa","p201","233113136","238","f"
2008,"pesa","p202","233113236","275","f"
2008,"pesa","p301","233113038","290","f"
2008,"pesa","p309","233113135","201","f"
2009,"pesa","p101","250103913","933","f"
2009,"pesa","p202","250103914","955","f"
2009,"pesa","p205","250103958","309","f"
2009,"pesa","p301","250103916","807","f"
2009,"pesa","p302","250103815","969","f"
2009,"pesa","p304","250103911","971","f"
2009,"pesa","p801","250103899","822","f"
2009,"pesa","p802","250103826","1009","f"
2014,"reds","re133_nl2014","1609600","9AECE7D001AF0001","f"
2014,"reds","re133_nl2014","6666666","FFD524B43A6F0001","m"
2014,"reds","re213_nl2014","1084911","E9B6C4B43A6F0001","m"
2011,"sesa","s602","255174461","F7DAC4B43A6F0001","f"
2011,"sesa","s602","255174460","05D124B43A6F0001","m"
2012,"sesa","s1003","255174745","DEBDC4B43A6F0001","f"
2012,"sesa","s1003","255174744","9A9EC4B43A6F0001","m"
2012,"sesa","s111","255174549","F21DC4B43A6F0001","f"
2012,"sesa","s111","255174748","8D79C4B43A6F0001","m"
2012,"sesa","s201","255174750","933DC4B43A6F0001","f"
2012,"sesa","s201","229194749","1FC924B43A6F0001","m"
2012,"sesa","s304","255174728","713124B43A6F0001","f"
2012,"sesa","s304","255174724","959924B43A6F0001","m"
2012,"sesa","s305","255174739","51C924B43A6F0001","f"
2012,"sesa","s305","255174741","1DDAC4B43A6F0001","m"
2012,"sesa","s310","255174536","8023C4B43A6F0001","f"
2012,"sesa","s310","255174763","48A741F9C66F0001","m"
2012,"sesa","s313","257188502","492DC4B43A6F0001","f"
2012,"sesa","s313","255174563","3D3924B43A6F0001","m"
2012,"sesa","s318","NA_2012_s318",NA,"f"
2012,"sesa","s318","257188498","D4F524B43A6F0001","m"
2012,"sesa","s325","257188436","283124B43A6F0001","f"
2012,"sesa","s325","NA_2012_s325",NA,"m"
2012,"sesa","s419","255174772","0AD524B43A6F0001","f"
2012,"sesa","s419","255174523","835524B43A6F0001","m"
2012,"sesa","s420","257188409","12CD24B43A6F0001","f"
2012,"sesa","s420","257188497","6FD524B43A6F0001","m"
2012,"sesa","s422","257188416","8176C4B43A6F0001","f"
2012,"sesa","s422","255174770","02A024B43A6F0001","m"
2012,"sesa","s502","255174778","EC3DC4B43A6F0001","f"
2012,"sesa","s502","255174308","6E9DC4B43A6F0001","m"
2012,"sesa","s506","255174446","90F524B43A6F0001","f"
2012,"sesa","s506","255174513","7A1DC4B43A6F0001","m"
2012,"sesa","s509","255174551","9E25C4B43A6F0001","f"
2012,"sesa","s509","255174740","3786C4B43A6F0001","m"
2012,"sesa","s511","257188584","A79924B43A6F0001","f"
2012,"sesa","s511","255174738","288524B43A6F0001","m"
2012,"sesa","s609","229194747","D20DC4B43A6F0001","f"
2012,"sesa","s609","229194761","F18524B43A6F0001","m"
2012,"sesa","s610","255174555","1E2524B43A6F0001","f"
2012,"sesa","s610","255174556","C58DC4B43A6F0001","m"
2012,"sesa","s704","255174790","EB0524B43A6F0001","f"
2012,"sesa","s704","255174463","1B0524B43A6F0001","m"
2012,"sesa","s705","255174535","FBDAC4B43A6F0001","f"
2012,"sesa","s705","225118856","DDF924B43A6F0001","m"
2012,"sesa","s706","255174760","AD3524B43A6F0001","f"
2012,"sesa","s706","255174759","CA9EC4B43A6F0001","m"
2012,"sesa","s708","255174736","7D4A24B43A6F0001","f"
2012,"sesa","s708","229194777","F7B6C4B43A6F0001","m"
2012,"sesa","s711","255174552","A119C4B43A6F0001","f"
2012,"sesa","s711","229194728","1CF524B43A6F0001","m"
2012,"sesa","s712","255174554","DA9924B43A6F0001","f"
2012,"sesa","s712","255174735","4C0524B43A6F0001","m"
2012,"sesa","s716","257188592","DB7524B43A6F0001","f"
2012,"sesa","s716","229194751","BE8DC4B43A6F0001","m"
2012,"sesa","s717","255174718","5FB6C4B43A6F0001","f"
2012,"sesa","s717","255174564","09F524B43A6F0001","m"
2012,"sesa","s720","257188597","3E3AC4B43A6F0001","f"
2012,"sesa","s720","257188595","1779C4B43A6F0001","m"
2012,"sesa","s777","257188454","6876C4B43A6F0001","f"
2012,"sesa","s777","257188506","B54EC4B43A6F0001","m"
2012,"sesa","s804","255174761","56D5C4B43A6F0001","f"
2012,"sesa","s804","255174796","A4A741F9C66F0001","m"
2012,"sesa","s807","255174531","DBA741F9C66F0001","f"
2012,"sesa","s807","255174537","220924B43A6F0001","m"
2012,"sesa","s812","255174747","B81DC4B43A6F0001","f"
2012,"sesa","s812","255174548","B0F524B43A6F0001","m"
2012,"sesa","s815","255174526","C9F524B43A6F0001","f"
2012,"sesa","s815","255174774","6AD524B43A6F0001","m"
2012,"sesa","s901","255174768","EAD024B43A6F0001","f"
2012,"sesa","s901","255174516","ECA924B43A6F0001","m"
2012,"sesa","s902","229194736","1623C4B43A6F0001","f"
2012,"sesa","s902","229194732","67DAC4B43A6F0001","m"
2013,"sesa","s409","255174397","E6ECE7D001AF0001","f"
2013,"sesa","s409","255174343","2EBDC4B43A6F0001","m"
2013,"sesa","s510","257188566","F1ECE7D001AF0001","f"
2013,"sesa","s510","255174329","8EECE7D001AF0001","m"
2013,"sesa","s516","255174353","C1ECE7D001AF0001","f"
2013,"sesa","s516","255174394","65ECE7D001AF0001","m"
2013,"sesa","s520","255174362","AEECE7D001AF0001","f"
2013,"sesa","s520","255174599","EB0DC4B43A6F0001","m"
2013,"sesa","s627","255174375","21ECE7D001AF0001","f"
2013,"sesa","s627","255174806","C916C4B43A6F0001","m"
2013,"wesa","w504","255174367","ADECE7D001AF0001","f"
2013,"wesa","w504","255174807","881CE7D001AF0001","m"
2013,"wesa","w505","255174818","B81CE7D001AF0001","f"
2013,"wesa","w505","255174815","D6ECE7D001AF0001","m"
2013,"wesa","w507","255174817","3EECE7D001AF0001","f"
2013,"wesa","w507","255174822","59ECE7D001AF0001","m"
2013,"wesa","w508","255174820","4EECE7D001AF0001","f"
2013,"wesa","w508","255174827","71ECE7D001AF0001","m"
2013,"wesa","w509","253178819","96ECE7D001AF0001","f"
2013,"wesa","w509","255174845","EC4024B43A6F0001","m"
2013,"wesa","w511","255174835","0BDDC4B43A6F0001","f"
2013,"wesa","w511","255174855","EE1CE7D001AF0001","m"
2013,"wesa","w701","255174819","1EECE7D001AF0001","f"
2013,"wesa","w701","253178817","3DECE7D001AF0001","m"
2013,"wesa","w702","255174610","FC1CE7D001AF0001","f"
2013,"wesa","w702","255174604","A00DC4B43A6F0001","m"
2013,"wesa","w801","255174814","43ECE7D001AF0001","f"
2013,"wesa","w801","255174360","7EECE7D001AF0001","m"
2013,"wesa","w802","253178818","D82D24B43A6F0001","f"
2013,"wesa","w802","255174808","3D0524B43A6F0001","m"
2013,"wesa","w804","255174876","51ECE7D001AF0001","f"
2013,"wesa","w804","255174856","5C1CE7D001AF0001","m"
