"year","site","sp","nest","laying_date","inc_start","method","comments"
"2011","barr","amgp","a301","2011-06-24 02:33:18","2011-06-27 04:33:18","laying",NA
"2011","barr","amgp","a302","2011-06-17 02:33:18","2011-06-20 04:33:18","median","asdn project"
"2011","barr","basa","b301","2011-06-08 15:32:58","2011-06-11 17:32:58","flotation",NA
"2011","barr","basa","b501","2011-06-27 18:44:44","2011-06-30 20:44:44","flotation",NA
"2011","barr","sesa","s602","2011-06-21 03:22:41","2011-06-24 05:22:41","flotation",NA
"2012","barr","amgp","a303","2012-06-18 16:33:44","2012-06-21 18:33:44","flotation",NA
"2012","barr","amgp","a305","2012-06-19 02:14:01","2012-06-22 04:14:01","flotation",NA
"2012","barr","amgp","a403","2012-06-13 06:58:24","2012-06-16 08:58:24","flotation",NA
"2012","barr","amgp","a802","2012-06-23 02:33:20","2012-06-26 04:33:20","laying",NA
"2012","barr","basa","b303","2012-06-17 02:33:19","2012-06-20 04:33:19","laying",NA
"2012","barr","basa","b304","2012-06-22 02:33:27","2012-06-25 04:33:27","laying",NA
"2012","barr","basa","b402","2012-06-20 07:17:28","2012-06-23 09:17:28","flotation",NA
"2012","barr","basa","b403","2012-06-25 02:33:28","2012-06-28 04:33:28","laying",NA
"2012","barr","basa","b404","2012-06-18 16:43:28","2012-06-21 18:43:28","flotation",NA
"2012","barr","basa","b405","2012-06-26 01:57:07","2012-06-29 03:57:07","flotation",NA
"2012","barr","basa","b601","2012-06-24 02:33:25","2012-06-27 04:33:25","laying",NA
"2012","barr","dunl","d702","2012-06-23 02:33:19","2012-06-26 04:33:19","laying",NA
"2012","barr","lbdo","l301","2012-06-21 01:41:58","2012-06-24 03:41:58","flotation",NA
"2012","barr","lbdo","l302","2012-06-25 16:06:34","2012-06-28 18:06:34","flotation",NA
"2012","barr","lbdo","l401","2012-06-13 12:03:01","2012-06-16 14:03:01","flotation",NA
"2012","barr","sesa","s1003","2012-06-10 14:20:57","2012-06-13 16:20:57","flotation",NA
"2012","barr","sesa","s111","2012-06-10 06:51:08","2012-06-13 08:51:08","flotation",NA
"2012","barr","sesa","s201","2012-06-08 02:33:19","2012-06-11 04:33:19","laying",NA
"2012","barr","sesa","s304","2012-06-19 02:33:19","2012-06-22 04:33:19","laying",NA
"2012","barr","sesa","s305","2012-06-15 19:19:41","2012-06-18 21:19:41","flotation",NA
"2012","barr","sesa","s310","2012-06-18 00:56:48","2012-06-21 02:56:48","flotation",NA
"2012","barr","sesa","s313","2012-06-19 12:47:01","2012-06-22 14:47:01","flotation",NA
"2012","barr","sesa","s318","2012-06-23 11:10:02","2012-06-26 13:10:02","flotation",NA
"2012","barr","sesa","s325","2012-06-24 15:38:36","2012-06-27 17:38:36","flotation",NA
"2012","barr","sesa","s419","2012-06-21 08:47:18","2012-06-24 10:47:18","flotation",NA
"2012","barr","sesa","s420","2012-06-24 08:51:02","2012-06-27 10:51:02","flotation",NA
"2012","barr","sesa","s422","2012-06-24 15:13:18","2012-06-27 17:13:18","flotation",NA
"2012","barr","sesa","s502","2012-06-06 16:27:38","2012-06-09 18:27:38","flotation",NA
"2012","barr","sesa","s506","2012-06-09 15:50:14","2012-06-12 17:50:14","flotation",NA
"2012","barr","sesa","s509","2012-06-12 15:10:22","2012-06-15 17:10:22","flotation",NA
"2012","barr","sesa","s511","2012-06-15 15:20:24","2012-06-18 17:20:24","flotation",NA
"2012","barr","sesa","s609","2012-06-20 02:33:22","2012-06-23 04:33:22","laying",NA
"2012","barr","sesa","s610","2012-06-19 18:43:42","2012-06-22 20:43:42","flotation",NA
"2012","barr","sesa","s704","2012-05-30 09:30:20","2012-06-02 11:30:20","flotation",NA
"2012","barr","sesa","s705","2012-06-08 02:33:20","2012-06-11 04:33:20","laying",NA
"2012","barr","sesa","s706","2012-06-07 12:37:22","2012-06-10 14:37:22","flotation",NA
"2012","barr","sesa","s708","2012-06-05 07:51:19","2012-06-08 09:51:19","flotation",NA
"2012","barr","sesa","s711","2012-06-12 01:16:40","2012-06-15 03:16:40","flotation",NA
"2012","barr","sesa","s712","2012-06-12 09:43:19","2012-06-15 11:43:19","flotation",NA
"2012","barr","sesa","s716","2012-06-22 12:43:36","2012-06-25 14:43:36","flotation",NA
"2012","barr","sesa","s717","2012-06-21 06:40:51","2012-06-24 08:40:51","flotation",NA
"2012","barr","sesa","s720","2012-06-23 13:03:18","2012-06-26 15:03:18","flotation",NA
"2012","barr","sesa","s777","2012-06-24 20:52:35","2012-06-27 22:52:35","flotation",NA
"2012","barr","sesa","s804","2012-06-10 02:33:18","2012-06-13 04:33:18","laying",NA
"2012","barr","sesa","s807","2012-06-04 06:26:16","2012-06-07 08:26:16","flotation",NA
"2012","barr","sesa","s812","2012-06-04 20:32:06","2012-06-07 22:32:06","flotation",NA
"2012","barr","sesa","s815","2012-06-16 02:33:25","2012-06-19 04:33:25","laying",NA
"2012","barr","sesa","s901","2012-06-05 23:34:39","2012-06-09 01:34:39","flotation",NA
"2012","barr","sesa","s902","2012-06-08 06:36:50","2012-06-11 08:36:50","flotation",NA
"2013","barr","lbdo","l501","2013-06-13 02:33:23","2013-06-16 04:33:23","laying",NA
"2013","barr","lbdo","l502","2013-06-28 19:37:49","2013-07-01 21:37:49","flotation",NA
"2013","barr","lbdo","l801","2013-06-17 02:33:23","2013-06-20 04:33:23","laying",NA
"2013","barr","lbdo","l805","2013-06-19 02:18:20","2013-06-22 04:18:20","flotation",NA
"2013","barr","sesa","s409","2013-06-17 11:16:48","2013-06-20 13:16:48","floatation",NA
"2013","barr","sesa","s510","2013-06-07 00:19:06","2013-06-10 02:19:06","floatation",NA
"2013","barr","sesa","s516","2013-06-09 20:11:30","2013-06-12 22:11:30","floatation",NA
"2013","barr","sesa","s520","2013-06-14 00:35:08","2013-06-17 02:35:08","floatation",NA
"2013","barr","sesa","s627","2013-06-18 04:33:19","2013-06-21 06:33:19","laying",NA
"2013","barr","wesa","w504","2013-06-19 05:19:27","2013-06-22 07:19:27","flotation",NA
"2013","barr","wesa","w505","2013-06-12 14:06:57","2013-06-15 16:06:57","flotation",NA
"2013","barr","wesa","w507","2013-06-13 07:59:54","2013-06-16 09:59:54","flotation",NA
"2013","barr","wesa","w508","2013-06-18 21:38:51","2013-06-21 23:38:51","flotation",NA
"2013","barr","wesa","w509","2013-06-10 18:54:45","2013-06-13 20:54:45","flotation",NA
"2013","barr","wesa","w511","2013-06-17 12:19:40","2013-06-20 14:19:40","flotation",NA
"2013","barr","wesa","w701","2013-06-16 17:57:15","2013-06-19 19:57:15","flotation",NA
"2013","barr","wesa","w702","2013-06-18 00:55:12","2013-06-21 02:55:12","flotation",NA
"2013","barr","wesa","w801","2013-06-13 20:09:55","2013-06-16 22:09:55","flotation",NA
"2013","barr","wesa","w802","2013-06-14 09:00:09","2013-06-17 11:00:09","flotation",NA
"2013","barr","wesa","w804","2013-06-22 17:01:29","2013-06-25 19:01:29","flotation",NA
"2014","isla","blgo","ka1411_is2014","2014-06-01 08:05:19","2014-06-04 10:05:19","hatching",NA
"2014","neth","reds","re133_nl2014","2014-05-25 06:10:09","2014-05-28 08:10:09","hatching",NA
"2014","neth","reds","re213_nl2014","2014-05-07 05:19:42","2014-05-10 07:19:42","floating",NA
"2015","chuk","rnph","pl02","2015-06-10 14:20:19","2015-06-13 16:20:19","hatching",NA
"2015","chuk","rnph","pl03","2015-06-16 21:07:48","2015-06-19 23:07:48","hatching",NA
"2015","chuk","rnph","pl04","2015-06-14 14:55:42","2015-06-17 16:55:42","hatching",NA
"2015","chuk","rnph","pl06","2015-06-09 04:54:38","2015-06-12 06:54:38","hatching",NA
"2015","chuk","rnph","pl11","2015-06-16 14:40:06","2015-06-19 16:40:06","hatching",NA
"2015","chuk","rnph","pl14","2015-06-17 05:00:36","2015-06-20 07:00:36","hatching",NA
"2015","chuk","rnph","pl21","2015-06-19 05:00:00","2015-06-22 07:00:00","floating",NA
"2015","chuk","rnph","pl22","2015-06-22 05:00:00","2015-06-25 07:00:00","floating",NA
"2015","chuk","rnph","pl26","2015-06-18 05:00:00","2015-06-21 07:00:00","hatching",NA
"2008","barr","pesa","p101","2008-06-21 05:00:00","2008-06-24 21:00:00","actogram",NA
"2008","barr","pesa","p201","2008-06-15 00:00:00","2008-06-18 02:05:00","laying or flotation",NA
"2008","barr","pesa","p202","2008-06-15 06:00:00","2008-06-18 08:00:00","laying or flotation",NA
"2008","barr","pesa","p301","2008-06-14 00:00:00","2008-06-17 02:05:00","laying or flotation",NA
"2008","barr","pesa","p309","2008-06-18 00:00:00","2008-06-21 04:00:00","laying or flotation",NA
"2009","barr","pesa","p101","2009-06-16 00:00:00","2009-06-20 02:05:00","actogram",NA
"2009","barr","pesa","p202","2009-06-11 02:00:00","2009-06-14 04:00:00","laying or flotation",NA
"2009","barr","pesa","p205","2009-06-11 05:00:00","2009-06-14 19:00:00","actogram",NA
"2009","barr","pesa","p301","2009-06-12 15:30:00","2009-06-15 17:30:00","laying or flotation",NA
"2009","barr","pesa","p302","2009-06-19 00:00:00","2009-06-22 02:00:00","laying or flotation",NA
"2009","barr","pesa","p304","2009-06-15 00:00:00","2009-06-18 02:05:00","median",NA
"2009","barr","pesa","p801","2009-06-17 00:00:00","2009-06-20 02:05:00","actogram",NA
"2009","barr","pesa","p802","2009-06-15 06:48:00","2009-06-18 08:48:00","laying or flotation",NA
