"use","scinam","sp","study_site","site_abbreviation","lat","lon","incubation_method","sexing_method","care","bout"
NA,"Pluvialis dominica","amgp","Barrow, Alaska","barr",71.32,-156.65,"RFID with temperature","genetic","biparental",11.2916666666667
NA,"Calidris bairdii","basa","Barrow, Alaska","barr",71.32,-156.65,"RFID with temperature","genetic","biparental",11.5666666666667
"?","Limosa limosa","blgo","Friesland, the Netherlands","frie",52.9213,5.4335,"RFID with temperature","genetic","biparental",2.79166666666667
"?","Limosa limosa","blgo","Selfos, Island","isla",63.9298,-21.1712,"RFID with temperature","morphometrics, discriminant function analyses","biparental",10.3166666666667
NA,"Calidris alpina","dunl","Barrow, Alaska","barr",71.32,-156.65,"RFID with temperature","genetic","biparental",10.3833333333333
NA,"Calidris alpina","dunl","Selfos, Island","isla",63.903,-21.1869,"RFID with temperature","genetic","biparental",11.0416666666667
NA,"Pluvialis apricaria","eugp","Selfos, Island","isla",63.9179,-21.1294,"RFID with temperature","genetic","biparental",8.39895833333333
NA,"Limnodromus scolopaceus","lbdo","Barrow, Alaska","barr",71.32,-156.65,"RFID with temperature","genetic","biparental",18.7333333333333
NA,"Charadrius dubius","lrpl","Budejovicko, Czech Republic","czrp",49.0519,14.3087,"RFID with temperature","genetic","biparental",0.746527777777778
NA,"Haematopus ostralegus","oyst","Selfos, Island","isla",63.9288,-21.1699,"RFID with temperature","genetic","biparental",1.83625
NA,"Calidris melanotos","pesa","Barrow, Alaska","barr",71.32,-156.65,"automated tracking","genetic","female",NA
"?","Tringa totanus","reds","Selfos, Island","isla",63.9204,-21.1457,"RFID with temperature","genetic","biparental",7.74701388888889
NA,"Tringa totanus","reds","The Netherlands","neth",52.9009,4.9296,"RFID with temperature","genetic","biparental",8.20958333333333
NA,"Charadrius hiaticula","ripl","Selfos, Island","isla",63.9212,-21.042,"RFID with temperature","plumage","biparental",1.09194444444444
NA,"Phalaropus lobatus","rnph","Chukotka","chuk",64.75333,177.671771,"temperature","color dimorphism","male",NA
"?","Arenaria interpres","rutu","Barrow, Alaska","barr",71.32,-156.65,"RFID with temperature","genetic","biparental",12.5677777777778
"?","Charadrius semipalmatus","sepl","Barrow, Alaska","barr",71.32,-156.65,"RFID with temperature","genetic","biparental",1.02958333333333
NA,"Calidris pusilla","sesa","Barrow, Alaska","barr",71.32,-156.65,"RFID with temperature","genetic","biparental",11.6576388888889
NA,"Calidris mauri","wesa","Barrow, Alaska","barr",71.32,-156.65,"RFID with temperature","genetic","biparental",11.925
NA,"Numenius phaeopus","whim","Selfos, Island","isla",63.7885,-20.1905,"RFID with temperature","morphometrics, discriminant function analyses","biparental",5.16666666666667
